tytuł ogłoszenia,link,lokalizacja,powierzchnia,cena,cena za metr,czynsz,liczba pokoi,rodzaj budynku,rynek,ogrzewanie,piętro,stan wykończenia,forma własności,dostępne od,typ ogłoszeniodawcy,informacje dodatkowe,rok budowy,winda,materiał budynku,okna,certyfikat energetyczny,wyposażenie,zabezpieczenia,media,źródło
,https://www.otodom.pl/pl/oferta/m3-z-ogromnym-potencjalem-lodz-gorna-ID4wDqU.html,,48.0,310000.0,6458.0,530.0,3.0,,wtórny,miejskie,9/9,do remontu,brak informacji,2025-03-26,biuro nieruchomości,,1970,tak,wielka płyta,plastikowe,,,,,olx
,https://www.otodom.pl/pl/oferta/m4-po-remoncie-61m2-wyposazone-3-komorki-winda-ID4wIu6.html,,61.44,600000.0,9766.0,1100.0,3.0,blok,wtórny,miejskie,5/10,do zamieszkania,spółdzielcze wł. prawo do lokalu,brak informacji,biuro nieruchomości,"balkon, piwnica, oddzielna kuchnia, pom. użytkowe",1985,tak,wielka płyta,plastikowe,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon","telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/wiecej-niz-tylko-cztery-sciany-na-dwoch-poziomach-ID4wCuq.html,,133.96,995000.0,7428.0,555.0,,,wtórny,gazowe,1/1,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,"taras, garaż/miejsce parkingowe",2011,nie,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,,,,,,,,,,,,,,,,,,,,,,,,,olx
,https://www.otodom.pl/pl/oferta/piotrkowska-studio-35-m2-na-2-pok-gotowe-okazja-ID4wJ5A.html,,35.0,375000.0,10714.0,,2.0,apartamentowiec,wtórny,miejskie,1/4,brak informacji,pełna własność,brak informacji,prywatny,"balkon, piwnica, pom. użytkowe",2025,nie,,drewniane,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/ladne-2-pokoje-koziny-ID4wFQ7.html,,45.0,415000.0,9222.0,520.0,2.0,blok,wtórny,miejskie,2/4,do zamieszkania,pełna własność,brak informacji,biuro nieruchomości,"balkon, oddzielna kuchnia, pom. użytkowe",1970,nie,cegła,,,,,"telewizja kablowa, internet",olx
,https://www.otodom.pl/pl/oferta/retkinia-krzemieniecka-53m2-3-pokoje-ID4wKfe.html,,53.0,375000.0,7075.0,,3.0,blok,wtórny,miejskie,3/4,do wykończenia,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon, piwnica, oddzielna kuchnia",,nie,wielka płyta,plastikowe,,"lodówka, meble, piekarnik, kuchenka, pralka","drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/oddany-blokmanufakturagaraz-5-000-ID4wE1O.html,,39.0,381700.0,9787.0,,2.0,apartamentowiec,pierwotny,miejskie,parter/10,brak informacji,pełna własność,brak informacji,biuro nieruchomości,"balkon, taras, garaż/miejsce parkingowe",2024,tak,cegła,plastikowe,,,"drzwi / okna antywłamaniowe, domofon / wideofon",,olx
,https://www.otodom.pl/pl/oferta/kawalerka-na-i-szym-pietrze-ID4wK7i.html,,26.89,280000.0,10413.0,300.0,2.0,kamienica,wtórny,inne,1/2,brak informacji,pełna własność,brak informacji,biuro nieruchomości,,1960,nie,cegła,plastikowe,,,,,olx
